ticker,created_at,body,cleaned_body,vader_compound,date
AAPL,2026-08-24T22:51:04Z,"$META $SPY $NVDA $AAPL 
*Meta Platforms  plans to launch a consumer version of its OpenClaw AI agent, code-named “Hatch,” as early as the next several weeks, according to internal documents. The new consumer tool is based on Meta’s OpenClaw agent architecture.
Next model target: is targeting October for the release of its next AI model, internally named “Watermelon.”
Product roadmap: The planned releases reflect Meta’saccelerating push into consumer-facing AI agents and foundation models “","*Meta Platforms plans to launch a consumer version of its OpenClaw AI agent, code-named “Hatch,” as early as the next several weeks, according to internal documents. The new consumer tool is based on Meta’s OpenClaw agent architecture. Next model target: is targeting October for the release of its next AI model, internally named “Watermelon.” Product roadmap: The planned releases reflect Meta’saccelerating push into consumer-facing AI agents and foundation models “",0.0,2026-08-24
AAPL,2026-08-24T22:38:06Z,$AAPL   I don’t think zBurry is right.  Apple shares. Ould reach $400.00 by year end.  Earnings could be very strong.  Burry has no idea what earnings will be.  Apple  is a great company.  Good to excellent management.  Products are in demand.  I just purchased two apple watches for my wife and me.  Most seniors want them for safety and health info.  I paid $525.00 each and the store was packed.  Burry would not know this.  Go Apple.,I don’t think zBurry is right. Apple shares. Ould reach .00 by year end. Earnings could be very strong. Burry has no idea what earnings will be. Apple is a great company. Good to excellent management. Products are in demand. I just purchased two apple watches for my wife and me. Most seniors want them for safety and health info. I paid .00 each and the store was packed. Burry would not know this. Go Apple.,0.9536,2026-08-24
AAPL,2026-08-24T22:21:55Z,"$AAPL Doesn&#39;t have the memory for the CPU they already paid for.  LOL   They are panic buying and begging memory makers for anything they can get.  LOL   OMFG  
 
My real 1y price target is 221.77 but 222.22 looks better.",Doesn&#39;t have the memory for the CPU they already paid for. LOL They are panic buying and begging memory makers for anything they can get. LOL OMFG My real 1y price target is 221.77 but 222.22 looks better.,0.7378,2026-08-24
AAPL,2026-08-24T21:58:15Z,$NFLX Letting other streamers into the app? WTF? $AAPL $PSKY $AMZN $DIS,Letting other streamers into the app? WTF?,-0.7089,2026-08-24
AAPL,2026-08-24T21:40:19Z,"think about how ridiculous a 5 trillions market can move nowadays, like a penny stock. Remember when $AAPL  first hit 1 trillion, back then you wouldn&#39;t expect more than a 2 to 5 % move after earnings. This current market is broken, wouldn&#39;t be surprised to see trillions chopped off down the road from a bad earnings","think about how ridiculous a 5 trillions market can move nowadays, like a penny stock. Remember when first hit 1 trillion, back then you wouldn&#39;t expect more than a 2 to 5 % move after earnings. This current market is broken, wouldn&#39;t be surprised to see trillions chopped off down the road from a bad earnings",-0.6908,2026-08-24
AAPL,2026-08-24T21:29:00Z,$GOOG $AAPL $DELL,,0.0,2026-08-24
AAPL,2026-08-24T21:27:03Z,$AAPL I bought a put for 310 tmrw but changed my mind after technical analysis . I think this might pop tomorrow or wed,I bought a put for 310 tmrw but changed my mind after technical analysis . I think this might pop tomorrow or wed,0.0,2026-08-24
AAPL,2026-08-24T21:21:11Z,$AAPL in the timeout zone till next er,in the timeout zone till next er,0.0,2026-08-24
AAPL,2026-08-24T20:44:24Z,$AAPL memory/chips go up a ton - we go down a ton. Memory/chips go down a ton and we’re  flat.   Cmon WTF let’s go already,memory/chips go up a ton - we go down a ton. Memory/chips go down a ton and we’re flat. Cmon WTF let’s go already,-0.6739,2026-08-24
AAPL,2026-08-24T20:23:42Z,$AAPL well,well,0.2732,2026-08-24
AAPL,2026-08-24T20:16:53Z,"$AAPL $SPY $QQQ  
AAPL loss of price momentum is dangerous at 10x sales and as more aware a big piece of its business is vulnerable (AI).  
 
Reversion to $ 240 (March) highly likely.  
GLTA 
https://bergsonjm.substack.com/p/the-most-accurate-trader-and-forecaster",AAPL loss of price momentum is dangerous at 10x sales and as more aware a big piece of its business is vulnerable (AI). Reversion to $ 240 (March) highly likely. GLTA,-0.743,2026-08-24
AAPL,2026-08-24T20:15:41Z,"$AAPL let me guess. Premarket Pops tomorrow morning.

Huge sell off during the first hour.

bounces back for HODL intraday 

Sell off into close 🤔",let me guess. Premarket Pops tomorrow morning. Huge sell off during the first hour. bounces back for HODL intraday Sell off into close 🤔,0.3182,2026-08-24
AAPL,2026-08-24T20:01:56Z,$AAPL nice,nice,0.4215,2026-08-24
AAPL,2026-08-24T19:53:52Z,$AAPL $SNAP,,0.0,2026-08-24
AAPL,2026-08-24T19:51:45Z,$AAPL close it,close it,0.0,2026-08-24
AAPL,2026-08-24T19:50:41Z,$AAPL Amazing News for AAPL,Amazing News for AAPL,0.5859,2026-08-24
AAPL,2026-08-24T19:45:30Z,$AAPL $BLIN $F,,0.0,2026-08-24
AAPL,2026-08-24T19:45:24Z,"$SNAP $AAPL 

will Evan Spiegel resigned as snap CEO and named Tim Cook as his successor ?

In may , Luke Wood (former Apple VP who ran Beats after the acquisition) is sitting on Snap’s board.

Let connect the dots!","will Evan Spiegel resigned as snap CEO and named Tim Cook as his successor ? In may , Luke Wood (former Apple VP who ran Beats after the acquisition) is sitting on Snap’s board. Let connect the dots!",-0.1007,2026-08-24
AAPL,2026-08-24T19:38:14Z,$AAPL here we go….take a shit time,here we go….take a shit time,-0.5574,2026-08-24
AAPL,2026-08-24T19:37:31Z,$AAPL $320 coming by Friday,coming by Friday,0.0,2026-08-24
AAPL,2026-08-24T19:35:57Z,$AAPL let’s a quick $1 drop here,let’s a quick drop here,-0.2732,2026-08-24
AAPL,2026-08-24T19:35:19Z,"What&#39;s up with $AAPL right now  

Seeing lots of action with short-dated call buyers sticking around the 310 to 320 zone  

But with both 1-day and 5-day price action staying flat and flow momentum below average, it feels more like tactical gamma trading than a breakout  

In the last 5 sessions, about $93M in options premium has gone into mostly at-the-money call sweeps  

Puts are just 20% of the flow, so outright upside call-selling looks riskier than usual despite the flat tape  

Keep an eye on this one","What&#39;s up with right now Seeing lots of action with short-dated call buyers sticking around the 310 to 320 zone But with both 1-day and 5-day price action staying flat and flow momentum below average, it feels more like tactical gamma trading than a breakout In the last 5 sessions, about in options premium has gone into mostly at-the-money call sweeps Puts are just 20% of the flow, so outright upside call-selling looks riskier than usual despite the flat tape Keep an eye on this one",0.1505,2026-08-24
AAPL,2026-08-24T19:24:02Z,"$AAPL $QQQ $SPY $SPX  
$AAPL services business is a big part of its revenue. And it looks like AI is disrupting it.  
At 10x sales, definitely time to take profits. It never historically trades above 5x sales.  
GLTA  
https://bergsonjm.substack.com/p/the-most-accurate-trader-and-forecaster","services business is a big part of its revenue. And it looks like AI is disrupting it. At 10x sales, definitely time to take profits. It never historically trades above 5x sales. GLTA",0.7964,2026-08-24
AAPL,2026-08-24T19:02:51Z,$MSFT $META $AAPL $AVGO $GOOG   all looking for safety,all looking for safety,0.4215,2026-08-24
AAPL,2026-08-24T18:47:03Z,"$AAPL clearly dumping on the Calls vs Puts. Just stop buying Calls they won&#39;t work out when too many of you buy Calls far more than Puts,  just sayin","clearly dumping on the Calls vs Puts. Just stop buying Calls they won&#39;t work out when too many of you buy Calls far more than Puts, just sayin",-0.2023,2026-08-24
AAPL,2026-08-24T18:45:55Z,$AAPL Looks like Kushner is working with the new CEO for AI,Looks like Kushner is working with the new CEO for AI,0.3612,2026-08-24
AAPL,2026-08-24T18:44:20Z,$AAPL They have someone laying off  employees from china and moving into AI,They have someone laying off employees from china and moving into AI,0.0,2026-08-24
AAPL,2026-08-24T18:43:49Z,$AAPL reverse w for the win.,reverse w for the win.,0.5859,2026-08-24
AAPL,2026-08-24T18:41:15Z,$AAPL Last add,Last add,0.0,2026-08-24
AAPL,2026-08-24T18:36:53Z,"$AAPL Another 22,960,00 calls just loaded @ 315.00 
00 exp 8/26","Another 22,960,00 calls just loaded @ 315.00 00 exp 8/26",0.0,2026-08-24
AAPL,2026-08-24T18:33:20Z,"$AAPL 32,630,000 calls just loaded @ 313.00","32,630,000 calls just loaded @ 313.00",0.0,2026-08-24
AAPL,2026-08-24T18:29:22Z,$AAPL 0dte $315 spot gonna be pulling hard here in about an hour,0dte spot gonna be pulling hard here in about an hour,-0.1027,2026-08-24
AAPL,2026-08-24T18:27:47Z,$AAPL watch them pull some last hour bullshit. They’ve pinned it here all day,watch them pull some last hour bullshit. They’ve pinned it here all day,-0.5859,2026-08-24
AAPL,2026-08-24T18:23:26Z,$AAPL Theyve been trying to get people to buy by making it look like its going up,Theyve been trying to get people to buy by making it look like its going up,0.3612,2026-08-24
AAPL,2026-08-24T18:16:32Z,"$AAPL Instead of $MU $SKHY and $SSNLF buying back their stocks.  They should short $AAPL   
 
Either $AAPL will buy low quality memory from China and face RMA and other issues.  OR $AAPL will have to buy memory from the big 3 at much higher prices thus lower gross margins 
 
either way  $AAPL is proper fucked.",Instead of and buying back their stocks. They should short Either will buy low quality memory from China and face RMA and other issues. OR will have to buy memory from the big 3 at much higher prices thus lower gross margins either way is proper fucked.,-0.8957,2026-08-24
AAPL,2026-08-24T18:07:50Z,"$AAPL 22,908,000 PUTS JUST LOADED @ 310.00","22,908,000 PUTS JUST LOADED @ 310.00",0.0,2026-08-24
AAPL,2026-08-24T18:04:36Z,"$AAPL 22,908,000 PUTS JUST LOADED @ 310","22,908,000 PUTS JUST LOADED @ 310",0.0,2026-08-24
AAPL,2026-08-24T17:43:14Z,"$XCN.X $AAPL $TSLA $SPY $QQQ &quot;Onyxcoin&#39;s recent news highlights steady infrastructure development, moving its Layer-1 vision from roadmap to reality. Here are the latest updates: 
 
Layer 1 Explorer Goes Live (06 July 2026) – Public block explorer launches, boosting transparency and developer trust for the Onyx L1 mainnet. 
 
Onyx Mesh Infrastructure Launches (01 July 2026) – Regulated financial infrastructure goes live on the Onyx L1, targeting institutional adoption.&quot;",".X &quot;Onyxcoin&#39;s recent news highlights steady infrastructure development, moving its Layer-1 vision from roadmap to reality. Here are the latest updates: Layer 1 Explorer Goes Live (06 July 2026) – Public block explorer launches, boosting transparency and developer trust for the Onyx L1 mainnet. Onyx Mesh Infrastructure Launches (01 July 2026) – Regulated financial infrastructure goes live on the Onyx L1, targeting institutional adoption.&quot;",0.5859,2026-08-24
AAPL,2026-08-24T17:39:06Z,$AAPL $MU $SNDK   Just a bad day for our team.  Tomorrow is another day.  Wednesday will be good for Nvidia and we should ride the tail.,Just a bad day for our team. Tomorrow is another day. Wednesday will be good for Nvidia and we should ride the tail.,-0.1531,2026-08-24
AAPL,2026-08-24T17:32:56Z,$SNAP $AAPL 🤔,🤔,0.0,2026-08-24
AAPL,2026-08-24T17:26:20Z,$AAPL,,0.0,2026-08-24
AAPL,2026-08-24T17:16:57Z,$QQQ $SPY $SPX $AAPL $TSLA - Iran is like - did the Boy Scouts or NAMBLA Put sanctions on us ???,- Iran is like - did the Boy Scouts or NAMBLA Put sanctions on us ???,0.466,2026-08-24
AAPL,2026-08-24T17:16:47Z,"Why Are Micron, SK Hynix, SanDisk Stocks Falling Today? $MU $HXSCL $SNDK $AAPL 
https://talkmarkets.com/article/why-are-micron-sk-hynix-sandisk-stocks-falling-today-1787591738","Why Are Micron, SK Hynix, SanDisk Stocks Falling Today?",-0.1531,2026-08-24
AAPL,2026-08-24T17:16:26Z,$AAPL $360 soon.,soon.,0.0,2026-08-24
AAPL,2026-08-24T17:15:40Z,$AAPL again very low volume,again very low volume,-0.3384,2026-08-24
AAPL,2026-08-24T17:15:09Z,"$QQQ $AAPL this market is just too easy. It&#39;s basically universal basic income if you just buy the morning lows before 10:30 and sell before 1 PM. Just take your profits no mater how small or large. It&#39;s guaranteed almost 9/10 times. Free money, risk free, never disappoints. Just odn&#39;t get greedy. Give it a try and have the disciple to close.","this market is just too easy. It&#39;s basically universal basic income if you just buy the morning lows before 10:30 and sell before 1 PM. Just take your profits no mater how small or large. It&#39;s guaranteed almost 9/10 times. Free money, risk free, never disappoints. Just odn&#39;t get greedy. Give it a try and have the disciple to close.",0.7858,2026-08-24
AAPL,2026-08-24T17:13:24Z,"$BLIN Greta frequent  new contracts  being  anounced, business  model  in  transition  to  high  tech  AI, great  adoption  of  the  product..all  the  makings  of  a  superb  2027  quarterly  report, makes  me  think  of  $F or $AAPL  reinventing  itself…patience  and  do  research!","Greta frequent new contracts being anounced, business model in transition to high tech AI, great adoption of the product..all the makings of a superb 2027 quarterly report, makes me think of or reinventing itself…patience and do research!",0.8588,2026-08-24
AAPL,2026-08-24T17:12:57Z,$SPY $QQQ $NVDA $AAPL,,0.0,2026-08-24
AAPL,2026-08-24T17:09:50Z,"$TEM $BE $INTC $AAPL $nvda
🤭",🤭,0.0,2026-08-24
AAPL,2026-08-24T16:55:21Z,"$AAPL Full penetration. Bearish crime? Penetration. And this goes on and on and back and forth. Smells bear crime, back to the lab, full penetration.","Full penetration. Bearish crime? Penetration. And this goes on and on and back and forth. Smells bear crime, back to the lab, full penetration.",-0.7906,2026-08-24
AAPL,2026-08-24T16:53:47Z,$AAPL  BACK TO $315,BACK TO,0.0,2026-08-24
AAPL,2026-08-24T16:52:45Z,$AAPL really doesn’t like that 313 level today,really doesn’t like that 313 level today,0.4173,2026-08-24
AAPL,2026-08-24T16:49:51Z,"🚨 SWING TRADE ALERT 🚨

Contract: $AAPL 08/26 315C  
Entry: @1.35

🚀 Fill confirmed!",🚨 SWING TRADE ALERT 🚨 Contract: 08/26 315C Entry: @1.35 🚀 Fill confirmed!,0.4981,2026-08-24
AAPL,2026-08-24T16:42:23Z,$AAPL lmao straight ripper,lmao straight ripper,0.7003,2026-08-24
AAPL,2026-08-24T16:41:04Z,"$BB with comments like this, I&#39;m supposed to believe that the market is all knowing? $AMZN  
 
The market was told years ago that BlackBerry is an automotive software giant by Foxconn... In 2023. $AAPL  
 
2023 
 
The blind eyes are real sour grapes. $NVDA  
 
Make the laggards pay.","with comments like this, I&#39;m supposed to believe that the market is all knowing? The market was told years ago that BlackBerry is an automotive software giant by Foxconn... In 2023. 2023 The blind eyes are real sour grapes. Make the laggards pay.",-0.1531,2026-08-24
AAPL,2026-08-24T16:40:18Z,$SPY $QQQ $SPX $TSLA $AAPL  who’s ready for a BOND RUN ??,who’s ready for a BOND RUN ??,0.4329,2026-08-24
AAPL,2026-08-24T16:37:45Z,$SPY $QQQ $SPX $AAPL $TSLA alright people you heard it Scotty will do &quot;whatever it takes&quot;,alright people you heard it Scotty will do &quot;whatever it takes&quot;,0.25,2026-08-24
AAPL,2026-08-24T16:35:55Z,$AAPL I’ll wait for am drop,I’ll wait for am drop,-0.2732,2026-08-24
AAPL,2026-08-24T16:35:07Z,$SPY $QQQ $SPX $AAPL $TSLA so much for free markets huh !! lol 😂 it’s so good that we’ll do anything !!! Lmfao 🤣 absolute clown show,so much for free markets huh !! lol 😂 it’s so good that we’ll do anything !!! Lmfao 🤣 absolute clown show,0.9352,2026-08-24
AAPL,2026-08-24T16:33:41Z,"$MAGS We are done here.

With Treasury fixing long end below inflation, $AAPL bleeds its uninvested cash pile while the MAGS without FCF have to take on higher interest debt to foment their build.

ATM Puts as stock replacement through January 2027","We are done here. With Treasury fixing long end below inflation, bleeds its uninvested cash pile while the MAGS without FCF have to take on higher interest debt to foment their build. ATM Puts as stock replacement through January 2027",0.3182,2026-08-24
AAPL,2026-08-24T16:27:23Z,"@zuby34 @itsphd @Jeremymartin007 @judgeyoung2 @jenbunn @ZY786 @jeremy4 @TraderRapp @Tradermikes40 @tonyctl 

$AAPL $nvda
cubie have never used 200 averages.",@zuby34 @itsphd @Jeremymartin007 @judgeyoung2 @jenbunn @ZY786 @jeremy4 @TraderRapp @Tradermikes40 @tonyctl cubie have never used 200 averages.,0.0,2026-08-24
AAPL,2026-08-24T16:22:57Z,"@cubie @itsphd @Jeremymartin007 @judgeyoung2 @jenbunn @ZY786 @jeremy4 @TraderRapp @Tradermikes40 @tonyctl under 200sma going long is going against the grain, I even shorted the boring $AAPL off highs and off course $NVDA 8 days down 👇","@cubie @itsphd @Jeremymartin007 @judgeyoung2 @jenbunn @ZY786 @jeremy4 @TraderRapp @Tradermikes40 @tonyctl under 200sma going long is going against the grain, I even shorted the boring off highs and off course 8 days down 👇",-0.3182,2026-08-24
AAPL,2026-08-24T16:12:22Z,$NVDA $ORCL $SPY $QQQ $AAPL,,0.0,2026-08-24
AAPL,2026-08-24T16:11:40Z,$AAPL 310 PUTS August 25 1.70,310 PUTS August 25 1.70,0.0,2026-08-24
AAPL,2026-08-24T16:00:36Z,"It is anticipated that news will soon confirm the Trump administration&#39;s decision to permit Apple to procure DRAM from China&#39;s CXMT, which offers a more economical alternative compared to its competitors. 

This move could potentially enhance their standing in the upcoming meeting with China&#39;s leader, Xi, although it may raise concerns for memory companies that are perceived as overcharging their customers and could be disadvantaged by this development.

$SPY $AAPL  $MU $SNDK $WDC","It is anticipated that news will soon confirm the Trump administration&#39;s decision to permit Apple to procure DRAM from China&#39;s CXMT, which offers a more economical alternative compared to its competitors. This move could potentially enhance their standing in the upcoming meeting with China&#39;s leader, Xi, although it may raise concerns for memory companies that are perceived as overcharging their customers and could be disadvantaged by this development.",-0.4019,2026-08-24
AAPL,2026-08-24T15:58:15Z,$AAPL AAPL at $311.67 Bulls are showing some strength today. Is $315 the next stop? What do you think? 🍎📈,AAPL at .67 Bulls are showing some strength today. Is the next stop? What do you think? 🍎📈,0.3313,2026-08-24
AAPL,2026-08-24T15:52:32Z,"$AAPL 401,225,654,333.9 Billion calls just added @ 313.228 strike","401,225,654,333.9 Billion calls just added @ 313.228 strike",-0.128,2026-08-24
AAPL,2026-08-24T15:51:42Z,$AAPL puts,puts,0.0,2026-08-24
AAPL,2026-08-24T15:48:38Z,"I have a FREE TRADINGVIEW INDICATOR for you. 
Go to my website and claim it 
 
It will tell you when Bears have overtaken Bulls and vice versa. 
 
It works on ALL ticker symbols and on all time frames. 
 
It&#39;s FREE! 
$SPY $QQQ $NVDA $AAPL $TSLA",I have a FREE TRADINGVIEW INDICATOR for you. Go to my website and claim it It will tell you when Bears have overtaken Bulls and vice versa. It works on ALL ticker symbols and on all time frames. It&#39;s FREE!,0.854,2026-08-24
AAPL,2026-08-24T15:45:03Z,"$SPY they’re just gonna take turns at this point - every week - Trump , Fed , treasury- repeat !!!🔁 $QQQ $AAPL $TSLA there’s your sign 🪧","they’re just gonna take turns at this point - every week - Trump , Fed , treasury- repeat !!!🔁 there’s your sign 🪧",0.3971,2026-08-24
AAPL,2026-08-24T15:44:06Z,"$AAPL Another 2,809,000 puts just loaded @ strike 309.00","Another 2,809,000 puts just loaded @ strike 309.00",-0.128,2026-08-24
AAPL,2026-08-24T15:43:54Z,$AAPL ✨To the Stars✨,✨To the Stars✨,0.0,2026-08-24
AAPL,2026-08-24T15:37:45Z,$AAPL 😶‍🌫️,😶‍🌫️,0.0,2026-08-24
AAPL,2026-08-24T15:36:07Z,$NVDA $SPY $AAPL $TSLA - yeah what happened to the buy backs ??? Oh that went to AI data centers lol 😂,- yeah what happened to the buy backs ??? Oh that went to AI data centers lol 😂,0.6531,2026-08-24
AAPL,2026-08-24T15:33:49Z,"$BLIN oh  my, where  have  I  seen this  pattern  before..$AAPL  or $TSLA..AND  it’s only  Monday!","oh my, where have I seen this pattern before.. or ..AND it’s only Monday!",0.0,2026-08-24
AAPL,2026-08-24T15:33:11Z,$SPY $QQQ $AAPL $GOOG you know the market is cooked when everyone expects the market to be green everyday lol 😂 fake Joo algos,you know the market is cooked when everyone expects the market to be green everyday lol 😂 fake Joo algos,-0.0772,2026-08-24
AAPL,2026-08-24T15:29:35Z,"$SPCX AI i believe will consolidate to merely 2 to 4 global players, if the governments of the world put regulations control AI, great possibility each regions of the world like EU, China, north america will have their own AI leaders. 
 
For the free market capitalist/democratic countries of the world, i see only 2 or 3 Ai that will dominate. 
 
I believe GOOGLE AI will be the leader if not will one of the few end up being at the TOP (if government regulators will allow it). 
 
Unfortunately i am not betting on google for AI play cause google stock for me is already EXPENSIVE 🤣🤣🤣... I was thinking why not google detach its AI and do offering for cheap price 😍.   
 
Betting on SPCX about AI is a lose lose bet, but i am willing to invest buying SPCX below $20 (i am not shorting this), me buying this below $20 is a NOT IN MY LIFETIME BET but FOR my kids IF EVER SPCX can really go beyond MOON 🤣 $AAPL $GOOGL $MSFT $NVDA","AI i believe will consolidate to merely 2 to 4 global players, if the governments of the world put regulations control AI, great possibility each regions of the world like EU, China, north america will have their own AI leaders. For the free market capitalist/democratic countries of the world, i see only 2 or 3 Ai that will dominate. I believe GOOGLE AI will be the leader if not will one of the few end up being at the TOP (if government regulators will allow it). Unfortunately i am not betting on google for AI play cause google stock for me is already EXPENSIVE 🤣🤣🤣... I was thinking why not google detach its AI and do offering for cheap price 😍. Betting on SPCX about AI is a lose lose bet, but i am willing to invest buying SPCX below (i am not shorting this), me buying this below is a NOT IN MY LIFETIME BET but FOR my kids IF EVER SPCX can really go beyond MOON 🤣",0.5742,2026-08-24
AAPL,2026-08-24T15:27:45Z,"$AAPL $SPY $SPX $QQQ $DIA  
$AAPL: AI eating away Apple&#39;s services business.  
 
External market estimates place total global consumer spending on the App Store at roughly $117.6 billion, from which Apple recognizes an estimated 15% to 30% commission.  
 
That revenue is declining fast.  
 
GTLA  
Look forward, not backward. https://tinyurl.com/5xz8mhca",": AI eating away Apple&#39;s services business. External market estimates place total global consumer spending on the App Store at roughly .6 billion, from which Apple recognizes an estimated 15% to 30% commission. That revenue is declining fast. GTLA Look forward, not backward.",0.0,2026-08-24
AAPL,2026-08-24T15:25:51Z,$aapl bye bears!! Cya at 315,bye bears!! Cya at 315,0.0,2026-08-24
AAPL,2026-08-24T15:25:02Z,$SPY $QQQ  we we accelerate here in about an hour !!! $AAPL $GOOG $MSFT they just wanna sucker in the call buyers first ! Don’t scare them off lol 😂,we we accelerate here in about an hour !!! they just wanna sucker in the call buyers first ! Don’t scare them off lol 😂,-0.7156,2026-08-24
AAPL,2026-08-24T15:24:55Z,$AAPL ripper mode time,ripper mode time,0.0,2026-08-24
AAPL,2026-08-24T15:23:49Z,$AAPL Added,Added,0.0,2026-08-24
AAPL,2026-08-24T15:21:56Z,$SPY told you just had to wait for $AAPL to selloff ! Next $GOOG ! $QQQ $TSLA ALL DOWN BAD SOON,told you just had to wait for to selloff ! Next ! ALL DOWN BAD SOON,-0.7019,2026-08-24
AAPL,2026-08-24T15:18:09Z,$AAPL 314 coming,314 coming,0.0,2026-08-24
AAPL,2026-08-24T15:16:32Z,"$SPY

and $AAPL $GLD $BTC.X even $MSTR 😆",and .X even 😆,0.0,2026-08-24
AAPL,2026-08-24T15:09:59Z,Rotten $AAPL,Rotten,-0.5106,2026-08-24
AAPL,2026-08-24T15:09:50Z,$AAPL Been pumped by WS to try to get people to buy,Been pumped by WS to try to get people to buy,0.0,2026-08-24
AAPL,2026-08-24T15:09:37Z,$AAPL 307.5 strike premium paid 4 cents,307.5 strike premium paid 4 cents,-0.128,2026-08-24
AAPL,2026-08-24T15:04:40Z,"$AAPL Another 1,890,000 puts just loaded @ strike 308","Another 1,890,000 puts just loaded @ strike 308",-0.128,2026-08-24
