ticker,created_at,body
AAPL,2026-08-24T20:16:53Z,"$AAPL $SPY $QQQ  
AAPL loss of price momentum is dangerous at 10x sales and as more aware a big piece of its business is vulnerable (AI).  
 
Reversion to $ 240 (March) highly likely.  
GLTA 
https://bergsonjm.substack.com/p/the-most-accurate-trader-and-forecaster"
AAPL,2026-08-24T20:15:41Z,"$AAPL let me guess. Premarket Pops tomorrow morning.

Huge sell off during the first hour.

bounces back for HODL intraday 

Sell off into close 🤔"
AAPL,2026-08-24T20:01:56Z,$AAPL nice
AAPL,2026-08-24T19:53:52Z,$AAPL $SNAP
AAPL,2026-08-24T19:51:45Z,$AAPL close it
AAPL,2026-08-24T19:50:41Z,$AAPL Amazing News for AAPL
AAPL,2026-08-24T19:45:30Z,$AAPL $BLIN $F
AAPL,2026-08-24T19:45:24Z,"$SNAP $AAPL 

will Evan Spiegel resigned as snap CEO and named Tim Cook as his successor ?

In may , Luke Wood (former Apple VP who ran Beats after the acquisition) is sitting on Snap’s board.

Let connect the dots!"
AAPL,2026-08-24T19:38:14Z,$AAPL here we go….take a shit time
AAPL,2026-08-24T19:37:31Z,$AAPL $320 coming by Friday
AAPL,2026-08-24T19:35:57Z,$AAPL let’s a quick $1 drop here
AAPL,2026-08-24T19:35:19Z,"What&#39;s up with $AAPL right now  

Seeing lots of action with short-dated call buyers sticking around the 310 to 320 zone  

But with both 1-day and 5-day price action staying flat and flow momentum below average, it feels more like tactical gamma trading than a breakout  

In the last 5 sessions, about $93M in options premium has gone into mostly at-the-money call sweeps  

Puts are just 20% of the flow, so outright upside call-selling looks riskier than usual despite the flat tape  

Keep an eye on this one"
AAPL,2026-08-24T19:24:02Z,"$AAPL $QQQ $SPY $SPX  
$AAPL services business is a big part of its revenue. And it looks like AI is disrupting it.  
At 10x sales, definitely time to take profits. It never historically trades above 5x sales.  
GLTA  
https://bergsonjm.substack.com/p/the-most-accurate-trader-and-forecaster"
AAPL,2026-08-24T19:02:51Z,$MSFT $META $AAPL $AVGO $GOOG   all looking for safety
AAPL,2026-08-24T18:47:03Z,"$AAPL clearly dumping on the Calls vs Puts. Just stop buying Calls they won&#39;t work out when too many of you buy Calls far more than Puts,  just sayin"
AAPL,2026-08-24T18:45:55Z,$AAPL Looks like Kushner is working with the new CEO for AI
AAPL,2026-08-24T18:44:20Z,$AAPL They have someone laying off  employees from china and moving into AI
AAPL,2026-08-24T18:43:49Z,$AAPL reverse w for the win.
AAPL,2026-08-24T18:41:15Z,$AAPL Last add
AAPL,2026-08-24T18:36:53Z,"$AAPL Another 22,960,00 calls just loaded @ 315.00 
00 exp 8/26"
AAPL,2026-08-24T18:33:20Z,"$AAPL 32,630,000 calls just loaded @ 313.00"
AAPL,2026-08-24T18:29:22Z,$AAPL 0dte $315 spot gonna be pulling hard here in about an hour
AAPL,2026-08-24T18:27:47Z,$AAPL watch them pull some last hour bullshit. They’ve pinned it here all day
AAPL,2026-08-24T18:23:26Z,$AAPL Theyve been trying to get people to buy by making it look like its going up
AAPL,2026-08-24T18:16:32Z,"$AAPL Instead of $MU $SKHY and $SSNLF buying back their stocks.  They should short $AAPL   
 
Either $AAPL will buy low quality memory from China and face RMA and other issues.  OR $AAPL will have to buy memory from the big 3 at much higher prices thus lower gross margins 
 
either way  $AAPL is proper fucked."
AAPL,2026-08-24T18:07:50Z,"$AAPL 22,908,000 PUTS JUST LOADED @ 310.00"
AAPL,2026-08-24T18:04:36Z,"$AAPL 22,908,000 PUTS JUST LOADED @ 310"
AAPL,2026-08-24T17:43:14Z,"$XCN.X $AAPL $TSLA $SPY $QQQ &quot;Onyxcoin&#39;s recent news highlights steady infrastructure development, moving its Layer-1 vision from roadmap to reality. Here are the latest updates: 
 
Layer 1 Explorer Goes Live (06 July 2026) – Public block explorer launches, boosting transparency and developer trust for the Onyx L1 mainnet. 
 
Onyx Mesh Infrastructure Launches (01 July 2026) – Regulated financial infrastructure goes live on the Onyx L1, targeting institutional adoption.&quot;"
AAPL,2026-08-24T17:39:06Z,$AAPL $MU $SNDK   Just a bad day for our team.  Tomorrow is another day.  Wednesday will be good for Nvidia and we should ride the tail.
AAPL,2026-08-24T17:32:56Z,$SNAP $AAPL 🤔
AAPL,2026-08-24T17:26:20Z,$AAPL
AAPL,2026-08-24T17:16:57Z,$QQQ $SPY $SPX $AAPL $TSLA - Iran is like - did the Boy Scouts or NAMBLA Put sanctions on us ???
AAPL,2026-08-24T17:16:47Z,"Why Are Micron, SK Hynix, SanDisk Stocks Falling Today? $MU $HXSCL $SNDK $AAPL 
https://talkmarkets.com/article/why-are-micron-sk-hynix-sandisk-stocks-falling-today-1787591738"
AAPL,2026-08-24T17:16:26Z,$AAPL $360 soon.
AAPL,2026-08-24T17:15:40Z,$AAPL again very low volume
AAPL,2026-08-24T17:15:09Z,"$QQQ $AAPL this market is just too easy. It&#39;s basically universal basic income if you just buy the morning lows before 10:30 and sell before 1 PM. Just take your profits no mater how small or large. It&#39;s guaranteed almost 9/10 times. Free money, risk free, never disappoints. Just odn&#39;t get greedy. Give it a try and have the disciple to close."
AAPL,2026-08-24T17:13:24Z,"$BLIN Greta frequent  new contracts  being  anounced, business  model  in  transition  to  high  tech  AI, great  adoption  of  the  product..all  the  makings  of  a  superb  2027  quarterly  report, makes  me  think  of  $F or $AAPL  reinventing  itself…patience  and  do  research!"
AAPL,2026-08-24T17:12:57Z,$SPY $QQQ $NVDA $AAPL
AAPL,2026-08-24T17:09:50Z,"$TEM $BE $INTC $AAPL $nvda
🤭"
AAPL,2026-08-24T16:55:21Z,"$AAPL Full penetration. Bearish crime? Penetration. And this goes on and on and back and forth. Smells bear crime, back to the lab, full penetration."
AAPL,2026-08-24T16:53:47Z,$AAPL  BACK TO $315
AAPL,2026-08-24T16:52:45Z,$AAPL really doesn’t like that 313 level today
AAPL,2026-08-24T16:49:51Z,"🚨 SWING TRADE ALERT 🚨

Contract: $AAPL 08/26 315C  
Entry: @1.35

🚀 Fill confirmed!"
AAPL,2026-08-24T16:42:23Z,$AAPL lmao straight ripper
AAPL,2026-08-24T16:41:04Z,"$BB with comments like this, I&#39;m supposed to believe that the market is all knowing? $AMZN  
 
The market was told years ago that BlackBerry is an automotive software giant by Foxconn... In 2023. $AAPL  
 
2023 
 
The blind eyes are real sour grapes. $NVDA  
 
Make the laggards pay."
AAPL,2026-08-24T16:40:18Z,$SPY $QQQ $SPX $TSLA $AAPL  who’s ready for a BOND RUN ??
AAPL,2026-08-24T16:37:45Z,$SPY $QQQ $SPX $AAPL $TSLA alright people you heard it Scotty will do &quot;whatever it takes&quot;
AAPL,2026-08-24T16:35:55Z,$AAPL I’ll wait for am drop
AAPL,2026-08-24T16:35:07Z,$SPY $QQQ $SPX $AAPL $TSLA so much for free markets huh !! lol 😂 it’s so good that we’ll do anything !!! Lmfao 🤣 absolute clown show
AAPL,2026-08-24T16:33:41Z,"$MAGS We are done here.

With Treasury fixing long end below inflation, $AAPL bleeds its uninvested cash pile while the MAGS without FCF have to take on higher interest debt to foment their build.

ATM Puts as stock replacement through January 2027"
AAPL,2026-08-24T16:27:23Z,"@zuby34 @itsphd @Jeremymartin007 @judgeyoung2 @jenbunn @ZY786 @jeremy4 @TraderRapp @Tradermikes40 @tonyctl 

$AAPL $nvda
cubie have never used 200 averages."
AAPL,2026-08-24T16:22:57Z,"@cubie @itsphd @Jeremymartin007 @judgeyoung2 @jenbunn @ZY786 @jeremy4 @TraderRapp @Tradermikes40 @tonyctl under 200sma going long is going against the grain, I even shorted the boring $AAPL off highs and off course $NVDA 8 days down 👇"
AAPL,2026-08-24T16:12:22Z,$NVDA $ORCL $SPY $QQQ $AAPL
AAPL,2026-08-24T16:11:40Z,$AAPL 310 PUTS August 25 1.70
AAPL,2026-08-24T16:00:36Z,"It is anticipated that news will soon confirm the Trump administration&#39;s decision to permit Apple to procure DRAM from China&#39;s CXMT, which offers a more economical alternative compared to its competitors. 

This move could potentially enhance their standing in the upcoming meeting with China&#39;s leader, Xi, although it may raise concerns for memory companies that are perceived as overcharging their customers and could be disadvantaged by this development.

$SPY $AAPL  $MU $SNDK $WDC"
AAPL,2026-08-24T15:58:15Z,$AAPL AAPL at $311.67 Bulls are showing some strength today. Is $315 the next stop? What do you think? 🍎📈
AAPL,2026-08-24T15:52:32Z,"$AAPL 401,225,654,333.9 Billion calls just added @ 313.228 strike"
AAPL,2026-08-24T15:51:42Z,$AAPL puts
AAPL,2026-08-24T15:48:38Z,"I have a FREE TRADINGVIEW INDICATOR for you. 
Go to my website and claim it 
 
It will tell you when Bears have overtaken Bulls and vice versa. 
 
It works on ALL ticker symbols and on all time frames. 
 
It&#39;s FREE! 
$SPY $QQQ $NVDA $AAPL $TSLA"
AAPL,2026-08-24T15:45:03Z,"$SPY they’re just gonna take turns at this point - every week - Trump , Fed , treasury- repeat !!!🔁 $QQQ $AAPL $TSLA there’s your sign 🪧"
AAPL,2026-08-24T15:44:06Z,"$AAPL Another 2,809,000 puts just loaded @ strike 309.00"
AAPL,2026-08-24T15:43:54Z,$AAPL ✨To the Stars✨
AAPL,2026-08-24T15:37:45Z,$AAPL 😶‍🌫️
AAPL,2026-08-24T15:36:07Z,$NVDA $SPY $AAPL $TSLA - yeah what happened to the buy backs ??? Oh that went to AI data centers lol 😂
AAPL,2026-08-24T15:33:49Z,"$BLIN oh  my, where  have  I  seen this  pattern  before..$AAPL  or $TSLA..AND  it’s only  Monday!"
AAPL,2026-08-24T15:33:11Z,$SPY $QQQ $AAPL $GOOG you know the market is cooked when everyone expects the market to be green everyday lol 😂 fake Joo algos
AAPL,2026-08-24T15:29:35Z,"$SPCX AI i believe will consolidate to merely 2 to 4 global players, if the governments of the world put regulations control AI, great possibility each regions of the world like EU, China, north america will have their own AI leaders. 
 
For the free market capitalist/democratic countries of the world, i see only 2 or 3 Ai that will dominate. 
 
I believe GOOGLE AI will be the leader if not will one of the few end up being at the TOP (if government regulators will allow it). 
 
Unfortunately i am not betting on google for AI play cause google stock for me is already EXPENSIVE 🤣🤣🤣... I was thinking why not google detach its AI and do offering for cheap price 😍.   
 
Betting on SPCX about AI is a lose lose bet, but i am willing to invest buying SPCX below $20 (i am not shorting this), me buying this below $20 is a NOT IN MY LIFETIME BET but FOR my kids IF EVER SPCX can really go beyond MOON 🤣 $AAPL $GOOGL $MSFT $NVDA"
AAPL,2026-08-24T15:27:45Z,"$AAPL $SPY $SPX $QQQ $DIA  
$AAPL: AI eating away Apple&#39;s services business.  
 
External market estimates place total global consumer spending on the App Store at roughly $117.6 billion, from which Apple recognizes an estimated 15% to 30% commission.  
 
That revenue is declining fast.  
 
GTLA  
Look forward, not backward. https://tinyurl.com/5xz8mhca"
AAPL,2026-08-24T15:25:51Z,$aapl bye bears!! Cya at 315
AAPL,2026-08-24T15:25:02Z,$SPY $QQQ  we we accelerate here in about an hour !!! $AAPL $GOOG $MSFT they just wanna sucker in the call buyers first ! Don’t scare them off lol 😂
AAPL,2026-08-24T15:24:55Z,$AAPL ripper mode time
AAPL,2026-08-24T15:23:49Z,$AAPL Added
AAPL,2026-08-24T15:21:56Z,$SPY told you just had to wait for $AAPL to selloff ! Next $GOOG ! $QQQ $TSLA ALL DOWN BAD SOON
AAPL,2026-08-24T15:18:09Z,$AAPL 314 coming
AAPL,2026-08-24T15:16:32Z,"$SPY

and $AAPL $GLD $BTC.X even $MSTR 😆"
AAPL,2026-08-24T15:09:59Z,Rotten $AAPL
AAPL,2026-08-24T15:09:50Z,$AAPL Been pumped by WS to try to get people to buy
AAPL,2026-08-24T15:09:37Z,$AAPL 307.5 strike premium paid 4 cents
AAPL,2026-08-24T15:04:40Z,"$AAPL Another 1,890,000 puts just loaded @ strike 308"
AAPL,2026-08-24T15:03:54Z,$AAPL More bad news
AAPL,2026-08-24T15:03:19Z,$AAPL They cant even sell it
AAPL,2026-08-24T14:56:13Z,$SPY $QQQ $NVDA $GOOG $AAPL WE HAVE A MAJOR MAJOR PROBLEM!!! They think this bluff is gonna work ?? We can’t even raise the debt ceiling LMFAO 🤣 LONG PUTS BROSKI
AAPL,2026-08-24T14:50:52Z,"$IWM $AAPL 
#pivotgroup🔐📚🏡
Keep executing $QQQ 
$SPY"
AAPL,2026-08-24T14:47:12Z,$AAPL cons be getting bled out even with time
AAPL,2026-08-24T14:46:29Z,$SPY we have to wait for $AAPL to selloff &amp; $GOOG MATTER OF TIME !! all tech is dumping $TSLA
AAPL,2026-08-24T14:46:17Z,$AAPL 320 today
AAPL,2026-08-24T14:45:53Z,"$AAPL  check this out   Financial media generally makes more money from negative news because negative stories capture and hold attention much longer than positive ones. This phenomenon drives higher engagement, more web traffic, and increased ad revenue. From google"
AAPL,2026-08-24T14:41:57Z,"$AAPL I was right last week when I told you that there were over  
2 Mil in puts loaded @ 305.00 Now there are 1,607,000 puts loaded @ 309."
AAPL,2026-08-24T14:29:50Z,$AAPL calls? 315 is calling me but I’m not touching 0dte bs lol
AAPL,2026-08-24T14:26:29Z,"$LAES $AAPL $MU $NVDA 
This short summary is fantastic . Thanks for sharing it . It explains everything an investor needs to know to the point without fluffing. 👀👀👀👀🔥🔥🔥🔥🧠🫵🤧
Who 
What
How 
When"
AAPL,2026-08-24T14:25:59Z,@artops neither there&#39;s no expiration on $NVDA but I see for $AAPL $MSFT
AAPL,2026-08-24T14:24:46Z,$AAPL Still playing the role of safe-space stock.
AAPL,2026-08-24T14:22:48Z,$AAPL 15 min and hourly. Lookin good.
AAPL,2026-08-24T14:22:06Z,$AAPL showing strength
AAPL,2026-08-24T14:21:51Z,$msfT $aapL $nvdA $spY MARKETS DONT NEED US. LET THE AI MACHINES DO THEUR SELF MONEY LAUNDERING
