ticker,text,created_at,sentiment_tag,cleaned_text,vader_compound,vader_sentiment
MMM,"Wall St is expecting 2.39 EPS for $MMM Q3 [Reporting 10/27 BMO]
http://www.estimize.com/intro/mmm?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-12 13:51:21+00:00,Neutre,Wall St is expecting 2.39 EPS for $MMM Q3 [Reporting 10/27 BMO],0.0,Neutral
MMM,"How Every Dow Jones Stock Has Performed in 2026 📊 
（Part 3） 
More of the Dow’s winners so far this year: 
$NVDA +20.1% 🟢 
$AMZN +18.9% 🟢 
$GS +18.3% 🟢 
$AAPL +15.3% 🟢 
$MMM +14.2% 🟢 
 
What stands out to me is the breadth here.  
Tech, financials and industrials are all contributing, which is usually more interesting than a rally carried by just one corner of the market. 
 
I’m watching the next group for signs of where the strongest momentum is moving. 
 
The next market update is coming.  
Turn on notifications if you want to follow the moves in real time.",2026-08-09 15:32:05+00:00,Neutre,"How Every Dow Jones Stock Has Performed in 2026 📊 （Part 3） More of the Dow’s winners so far this year: $NVDA +20.1% 🟢 $AMZN +18.9% 🟢 $GS +18.3% 🟢 $AAPL +15.3% 🟢 $MMM +14.2% 🟢 What stands out to me is the breadth here. Tech, financials and industrials are all contributing, which is usually more interesting than a rally carried by just one corner of the market. I’m watching the next group for signs of where the strongest momentum is moving. The next market update is coming. Turn on notifications if you want to follow the moves in real time.",0.8516,Positive
MMM,"5 Trade Ideas for Monday: Alcoa, Adobe, Corning, LPL and 3M https://dragonflycap.com/5-trade-ideas-for-monday-alcoa-adobe-corning-lpl-and-3m/ $AA $ADBE $GLW $LPLA $MMM",2026-08-09 14:48:44+00:00,Neutre,"5 Trade Ideas for Monday: Alcoa, Adobe, Corning, LPL and 3M $AA $ADBE $GLW $LPLA $MMM",0.0,Neutral
MMM,$MMM it’s looking like a near term pullback in $MMM 📉,2026-08-06 10:34:00+00:00,Neutre,$MMM it’s looking like a near term pullback in $MMM 📉,0.3612,Positive
MMM,"Notable Options Flow Alert  
 
Large ask-side call activity spotted: 
 
$NFLX 
- 80C 11/20 Exp 
- ~$6M premium @ 4.19 avg 
 
$FCX 
- 85C 11/20 Exp 
- ~$1.4M premium @ 2.56 avg 
 
$MMM 
- 190C 9/18 Exp 
-~$2.29M premium @ 2.96 avg 
 
$CRWV 
- 110C 8/14 Exp 
- ~$1M premium @ 3.21 avg 
 
$MRK 
- 145C 9/18 Exp 
- ~$930K premium @ 0.76 avg 
 
Big money continues positioning in select names. Keeping these unusual flows on watch for potential momentum moves.",2026-08-05 15:45:32+00:00,Neutre,Notable Options Flow Alert Large ask-side call activity spotted: $NFLX - 80C 11/20 Exp - ~$6M premium @ 4.19 avg $FCX - 85C 11/20 Exp - ~$1.4M premium @ 2.56 avg $MMM - 190C 9/18 Exp -~$2.29M premium @ 2.96 avg $CRWV - 110C 8/14 Exp - ~$1M premium @ 3.21 avg $MRK - 145C 9/18 Exp - ~$930K premium @ 0.76 avg Big money continues positioning in select names. Keeping these unusual flows on watch for potential momentum moves.,0.296,Positive
MMM,"$MMM $JCI $EQNR $UPS $MNST 3M focuses on industrial innovation, Johnson Controls benefits from smart building demand, Equinor balances oil and renewables, UPS remains a logistics leader, and Monster Beverage continues expanding globally.",2026-08-05 06:41:49+00:00,Neutre,"$MMM $JCI $EQNR $UPS $MNST 3M focuses on industrial innovation, Johnson Controls benefits from smart building demand, Equinor balances oil and renewables, UPS remains a logistics leader, and Monster Beverage continues expanding globally.",0.7506,Positive
MMM,$MMM Nice technical pullback after good ER. Big C&amp;H forming looking back at the 5 yr.,2026-07-31 18:37:05+00:00,Neutre,$MMM Nice technical pullback after good ER. Big C&amp;H forming looking back at the 5 yr.,0.6908,Positive
MMM,$MMM 185,2026-07-30 16:33:21+00:00,Bullish,$MMM 185,0.0,Neutral
MMM,"$MMM &amp; $NOC Earning Play Trade Setup 
 
Watch the video to learn how to trade this repeatable pattern 🎯 
 
https://x.com/TENETTRADEGROUP/status/2082617291989189116?s=20",2026-07-30 00:02:31+00:00,Neutre,$MMM &amp; $NOC Earning Play Trade Setup Watch the video to learn how to trade this repeatable pattern 🎯,0.34,Positive
MMM,$MMM bought up,2026-07-29 13:48:55+00:00,Neutre,$MMM bought up,0.0,Neutral
MMM,"Wall St is expecting 2.38 EPS for $MMM Q3 [Reporting 10/27 BMO]
http://www.estimize.com/intro/mmm?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-07-29 11:09:23+00:00,Neutre,Wall St is expecting 2.38 EPS for $MMM Q3 [Reporting 10/27 BMO],0.0,Neutral
MMM,"$MMM
Share Price: $182.46

Contract Selected: Aug 21, 2026 $180 Calls

Buy Zone: $4.63 – $5.72
Target Zone: $7.63 – $9.32
Potential Upside: 56% ROI

Time to Expiration: 23 Days | Updates via https://fxcapta.com/stockinfo/",2026-07-29 05:17:06+00:00,Neutre,"$MMM Share Price: $182.46 Contract Selected: Aug 21, 2026 $180 Calls Buy Zone: $4.63 – $5.72 Target Zone: $7.63 – $9.32 Potential Upside: 56% ROI Time to Expiration: 23 Days | Updates via",0.296,Positive
MMM,$MMM pull back levels --,2026-07-29 00:08:01+00:00,Neutre,$MMM pull back levels --,0.0,Neutral
MMM,$MMM excellent! 😄,2026-07-28 16:09:43+00:00,Neutre,$MMM excellent! 😄,0.6114,Positive
MMM,$HNGE $OSCR $MMM and $GM feels like a balanced portfolio to me.,2026-07-28 16:03:09+00:00,Neutre,$HNGE $OSCR $MMM and $GM feels like a balanced portfolio to me.,0.3612,Positive
MMM,$MMM new market leader,2026-07-28 15:54:54+00:00,Bullish,$MMM new market leader,0.0,Neutral
MMM,$MMM J.P.Morgan raises target price to $205 from $180,2026-07-28 14:57:27+00:00,Neutre,$MMM J.P.Morgan raises target price to $205 from $180,0.0,Neutral
AOS,"Wall St is expecting 0.90 EPS for $AOS Q3 [Reporting 10/22 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-24 13:15:23+00:00,Neutre,Wall St is expecting 0.90 EPS for $AOS Q3 [Reporting 10/22 BMO],0.0,Neutral
AOS,@topstockalerts $AOS,2026-08-19 17:23:39+00:00,Neutre,$AOS,0.0,Neutral
AOS,$AOS give us that 72 back i saw 8n the pre market!!,2026-08-11 13:38:13+00:00,Bullish,$AOS give us that 72 back i saw 8n the pre market!!,0.0,Neutral
AOS,$AOS lemme see 65 today ✔️,2026-08-06 13:12:47+00:00,Bullish,$AOS lemme see 65 today ✔️,0.0,Neutral
AOS,$AOS undervalued?,2026-08-01 15:08:35+00:00,Bullish,$AOS undervalued?,0.0,Neutral
AOS,$AOS give us good forward guidance in china kevin! Thanks,2026-07-30 14:07:52+00:00,Bullish,$AOS give us good forward guidance in china kevin! Thanks,0.7263,Positive
AOS,"$AOS Q2 &#39;26 Earnings Results &amp; Recap

• Reported GAAP EPS of $0.91 down -14.95% YoY
• Reported revenue of $1B down -0.69% YoY
• A. O. Smith Corporation updated its 2026 full-year outlook to sales growth of 2% to 3%, diluted EPS of $3.60 to $3.75, and adjusted EPS of $3.70 to $3.85 per share.",2026-07-30 11:04:43+00:00,Neutre,"$AOS Q2 &#39;26 Earnings Results &amp; Recap • Reported GAAP EPS of $0.91 down -14.95% YoY • Reported revenue of $1B down -0.69% YoY • A. O. Smith Corporation updated its 2026 full-year outlook to sales growth of 2% to 3%, diluted EPS of $3.60 to $3.75, and adjusted EPS of $3.70 to $3.85 per share.",0.5859,Positive
AOS,$AOS strength 💪 in turbulence,2026-07-23 13:49:19+00:00,Bullish,$AOS strength 💪 in turbulence,0.4939,Positive
AOS,"$AOS $SPYM $O  
 
Small adds to the mix 
 
Nothing fancy",2026-07-17 19:20:11+00:00,Neutre,$AOS $SPYM $O Small adds to the mix Nothing fancy,0.0,Neutral
AOS,$AOS 63 close today,2026-07-07 14:31:16+00:00,Neutre,$AOS 63 close today,0.0,Neutral
AOS,"$AOS  
A.O. Smith (AOS) Stock Analysis 
AOS has paid a dividend every year since 1940 and increased its dividend for 33 consecutive years. Its focus on energy-efficient and water-saving technologies aligns with global trends toward sustainability, offering long-term growth potential. For investors seeking a stable industrial company with defensive characteristics and a commitment to capital returns, AOS may be a compelling choice. 
Is the stock price a buy, sell or hold? 
 
What is the Intrinsic Value of A.O. Smith (AOS)? 
https://dividendvaluebuilder.com/ao-smith-aos-dividend-stock-analysis/",2026-07-06 18:19:05+00:00,Neutre,"$AOS A.O. Smith (AOS) Stock Analysis AOS has paid a dividend every year since 1940 and increased its dividend for 33 consecutive years. Its focus on energy-efficient and water-saving technologies aligns with global trends toward sustainability, offering long-term growth potential. For investors seeking a stable industrial company with defensive characteristics and a commitment to capital returns, AOS may be a compelling choice. Is the stock price a buy, sell or hold? What is the Intrinsic Value of A.O. Smith (AOS)?",0.9054,Positive
AOS,"Wall St is expecting 0.97 EPS for $AOS Q2 [Reporting 07/23 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-07-02 22:06:37+00:00,Neutre,Wall St is expecting 0.97 EPS for $AOS Q2 [Reporting 07/23 BMO],0.0,Neutral
AOS,$AOS attractive value?,2026-06-26 20:58:13+00:00,Bullish,$AOS attractive value?,0.6486,Positive
AOS,$AOS this is acting like a hedge on the ai market,2026-06-25 13:11:24+00:00,Bullish,$AOS this is acting like a hedge on the ai market,0.3612,Positive
AOS,"Wall St is expecting 0.97 EPS for $AOS Q2 [Reporting 07/23 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-06-24 10:06:23+00:00,Neutre,Wall St is expecting 0.97 EPS for $AOS Q2 [Reporting 07/23 BMO],0.0,Neutral
AOS,$AOS - looks like a market reversal is approaching. Adding more here for safe harbor for what appears to be undervalued as is. Will add more if there is a dip. Always nice having dry powder for days like this and for what’s upcoming.,2026-06-23 06:51:01+00:00,Bullish,$AOS - looks like a market reversal is approaching. Adding more here for safe harbor for what appears to be undervalued as is. Will add more if there is a dip. Always nice having dry powder for days like this and for what’s upcoming.,0.8739,Positive
AOS,$AOS cheap seats selling out boys!,2026-06-16 14:08:48+00:00,Bullish,$AOS cheap seats selling out boys!,0.0,Neutral
AOS,Sold $AOS $177 dollar profit.,2026-06-15 13:50:12+00:00,Bullish,Sold $AOS $177 dollar profit.,0.4404,Positive
AOS,$AOS  Bullish Chart Pattern (Double Bottom),2026-06-10 12:54:29+00:00,Bullish,$AOS Bullish Chart Pattern (Double Bottom),0.0,Neutral
AOS,In $AOS 58.52 83 making turn around back up way undervalued.,2026-06-09 14:05:16+00:00,Bullish,In $AOS 58.52 83 making turn around back up way undervalued.,0.0,Neutral
AOS,$AOS solid business?,2026-06-06 01:54:23+00:00,Bullish,$AOS solid business?,0.1531,Positive
AOS,"$AOS holding up nice, compared to the market this morning",2026-06-05 14:04:10+00:00,Bullish,"$AOS holding up nice, compared to the market this morning",0.4215,Positive
AOS,$AOS i have buys scattered below 57,2026-05-29 14:10:54+00:00,Bearish,$AOS i have buys scattered below 57,0.0,Neutral
AOS,"Is $AOS a value trap at current levels? 🛠️ The water heating business is a durable moat, but the residential housing slowdown is a persistent headwind. We are watching for the company to prove its pricing power can offset volume declines. Until the technical trend flips, the &quot;premium&quot; valuation remains at risk of further compression. 💎 
 
🐂 Bulls: Look for a base formation around 58.00 before even considering a long setup 
🐻 Bears: The trend remains downward; keep watching for lower lows as housing data cools 
 
📊 Lean BEARISH. 
#AOS #Construction #StockMarket #hovdid",2026-05-23 18:31:26+00:00,Neutre,"Is $AOS a value trap at current levels? 🛠️ The water heating business is a durable moat, but the residential housing slowdown is a persistent headwind. We are watching for the company to prove its pricing power can offset volume declines. Until the technical trend flips, the &quot;premium&quot; valuation remains at risk of further compression. 💎 🐂 Bulls: Look for a base formation around 58.00 before even considering a long setup 🐻 Bears: The trend remains downward; keep watching for lower lows as housing data cools 📊 Lean BEARISH. #AOS #Construction #StockMarket #hovdid",-0.765,Negative
AOS,$AOS double bags?,2026-05-22 02:07:31+00:00,Bullish,$AOS double bags?,0.0,Neutral
AOS,$AOS one of the few stocks I’m seeing in the market that’s on sale. I’m about to take a position!,2026-05-20 15:12:01+00:00,Neutre,$AOS one of the few stocks I’m seeing in the market that’s on sale. I’m about to take a position!,0.0,Neutral
AOS,$AOS Chinese real-estate stock $hkex rated a strong buy! Bullish for aos,2026-05-19 14:47:40+00:00,Neutre,$AOS Chinese real-estate stock $hkex rated a strong buy! Bullish for aos,0.5562,Positive
AOS,"Wall St is expecting 0.98 EPS for $AOS Q2 [Reporting 07/23 BMO]
http://www.estimize.com/intro/aos?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-05-14 22:23:50+00:00,Neutre,Wall St is expecting 0.98 EPS for $AOS Q2 [Reporting 07/23 BMO],0.0,Neutral
AOS,$AOS trump and Xi said &quot; lets open up the china economy&quot;,2026-05-14 15:43:11+00:00,Bullish,$AOS trump and Xi said &quot; lets open up the china economy&quot;,0.0,Neutral
AOS,$AOS wheres the damn bottom?,2026-05-13 14:41:01+00:00,Neutre,$AOS wheres the damn bottom?,-0.4019,Negative
ABT,"$ABT
Price: $116.64 (+2.19%)
Trend: Bearish
Market Bias (7D): Bearish Bias 📉
Expected Range: ±0.73%
RSI: 80.7 | Momentum: Moderate
Volume: +15.8% vs avg
Volatility: 1.27%
Support: $102.89 | Resistance: $116.66

Data and analytics sourced from Thescanner educational research https://www.thescanner.ai",2026-08-22 01:49:03+00:00,Neutre,$ABT Price: $116.64 (+2.19%) Trend: Bearish Market Bias (7D): Bearish Bias 📉 Expected Range: ±0.73% RSI: 80.7 | Momentum: Moderate Volume: +15.8% vs avg Volatility: 1.27% Support: $102.89 | Resistance: $116.66 Data and analytics sourced from Thescanner educational research,0.2263,Positive
ABT,$ABT $XLV $SPY,2026-08-21 19:30:28+00:00,Neutre,$ABT $XLV $SPY,0.0,Neutral
ABT,"$ABT 
March 31st - Abbott and other investors fund $575 million in WHOOP at $10.1B valuation 

August 18th - WHOOP partners with Grail, adding Galleri screening test for their members

🤔",2026-08-21 14:52:57+00:00,Neutre,"$ABT March 31st - Abbott and other investors fund $575 million in WHOOP at $10.1B valuation August 18th - WHOOP partners with Grail, adding Galleri screening test for their members 🤔",0.0,Neutral
ABT,$ABT settlement is great news. It’s been an overhang for the last 5 years…,2026-08-21 12:42:03+00:00,Bullish,$ABT settlement is great news. It’s been an overhang for the last 5 years…,0.6249,Positive
ABT,$ABT No pullback? I need to cover my short calls. 😠,2026-08-21 04:25:13+00:00,Bullish,$ABT No pullback? I need to cover my short calls. 😠,-0.296,Negative
ABT,"Wall St is expecting 1.42 EPS for $ABT Q3 [Reporting 10/21 BMO]
http://www.estimize.com/intro/abt?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-20 14:18:14+00:00,Neutre,Wall St is expecting 1.42 EPS for $ABT Q3 [Reporting 10/21 BMO],0.0,Neutral
ABT,"$TTE $ABT $TD $TMUS $PEP TotalEnergies remains leveraged to global energy markets, Abbott benefits from healthcare and diagnostics demand, TD Bank benefits from financial activity, T-Mobile benefits from wireless subscriber growth, and PepsiCo benefits from resilient consumer demand. I&#39;m watching energy prices, medical-device demand, credit conditions, subscriber growth, and volumes.",2026-08-20 07:29:12+00:00,Neutre,"$TTE $ABT $TD $TMUS $PEP TotalEnergies remains leveraged to global energy markets, Abbott benefits from healthcare and diagnostics demand, TD Bank benefits from financial activity, T-Mobile benefits from wireless subscriber growth, and PepsiCo benefits from resilient consumer demand. I&#39;m watching energy prices, medical-device demand, credit conditions, subscriber growth, and volumes.",0.9509,Positive
ABT,"Abbott Laboratories has agreed to settle its appeal of a $495 million verdict involving its specialized formula for premature infants, according to court filings in Missouri. The settlement terms were not disclosed. 
In 2024, a St. Louis jury found that Abbott’s infant formula contributed to an Illinois girl developing necrotizing enterocolitis (NEC), a serious intestinal disease primarily affecting premature newborns. Abbott had challenged the verdict before the Missouri Supreme Court after a state appeals court upheld it in May. 
About 1,000 similar lawsuits have been filed against Abbott, which makes Similac, and Mead Johnson, a Reckitt unit that produces Enfamil. More than 800 cases are consolidated in federal court in Illinois, with additional cases pending in Illinois, Missouri and Pennsylvania. 
NEC causes intestinal tissue death and has an estimated mortality rate above 20%.  
$ABT",2026-08-19 20:48:24+00:00,Neutre,"Abbott Laboratories has agreed to settle its appeal of a $495 million verdict involving its specialized formula for premature infants, according to court filings in Missouri. The settlement terms were not disclosed. In 2024, a St. Louis jury found that Abbott’s infant formula contributed to an Illinois girl developing necrotizing enterocolitis (NEC), a serious intestinal disease primarily affecting premature newborns. Abbott had challenged the verdict before the Missouri Supreme Court after a state appeals court upheld it in May. About 1,000 similar lawsuits have been filed against Abbott, which makes Similac, and Mead Johnson, a Reckitt unit that produces Enfamil. More than 800 cases are consolidated in federal court in Illinois, with additional cases pending in Illinois, Missouri and Pennsylvania. NEC causes intestinal tissue death and has an estimated mortality rate above 20%. $ABT",0.1779,Positive
ABT,$ABT nice chart,2026-08-18 20:24:33+00:00,Bullish,$ABT nice chart,0.4215,Positive
ABT,"$ABT happy belated dividend day to all (from yesterday...) - going to keep reinvesting mine &amp; let it continue to add more shares &amp; compound, as we grind our way to 160+ in the coming years 🥂",2026-08-18 15:00:11+00:00,Bullish,"$ABT happy belated dividend day to all (from yesterday...) - going to keep reinvesting mine &amp; let it continue to add more shares &amp; compound, as we grind our way to 160+ in the coming years 🥂",0.7346,Positive
ABT,"$ABT Abbott Laboratories (NYSE: ABT) is gaining attention with FreeStyle Libre, diagnostics, nutrition and cancer screening exposure. Here’s why ABT stock could have more room to run. https://biotechhealthx.com/biotech-news/what-makes-abbott-laboratories-abt-a-smart-buy-and-hold-investment/",2026-08-15 17:34:00+00:00,Neutre,"$ABT Abbott Laboratories (NYSE: ABT) is gaining attention with FreeStyle Libre, diagnostics, nutrition and cancer screening exposure. Here’s why ABT stock could have more room to run.",-0.2263,Negative
ABT,$ABT That was it. Easy one,2026-08-14 06:45:13+00:00,Neutre,$ABT That was it. Easy one,0.4404,Positive
ABT,$ABT $DXCM $PODD $SENS $TNDM,2026-08-14 01:25:29+00:00,Neutre,$ABT $DXCM $PODD $SENS $TNDM,0.0,Neutral
ABT,$SENS $DXCM $ABT $TNDM $PODD https://lnkd.in/p/gUqQAkEB,2026-08-14 01:13:35+00:00,Neutre,$SENS $DXCM $ABT $TNDM $PODD,0.0,Neutral
ABT,"Jim Cramer&#39;s top 10 things to watch in the stock market Thursday
$abt

A lot of love for Abbott. Wolfe Research upgraded the stock to buy from hold, pointing to organic growth improvements and a potential re-rating of shares. Citi raised its price target to $125 from $112. Analysts are more upbeat on medtech after earnings. 2027 estimates for the group seem to be at more reasonable levels. We thankfully exited Abbott last fall, avoiding what had been a rough 2026. Johnson &amp; Johnson gives us medtech exposure now. Need it lower before we buy any more. https://www.cnbc.com/2026/08/13/jim-cramers-top-10-things-to-watch-in-the-stock-market-thursday.html?__source=iosappshare%7Ccom.stocktwits.StockTwits.STShareExtension",2026-08-14 00:21:37+00:00,Neutre,"Jim Cramer&#39;s top 10 things to watch in the stock market Thursday $abt A lot of love for Abbott. Wolfe Research upgraded the stock to buy from hold, pointing to organic growth improvements and a potential re-rating of shares. Citi raised its price target to $125 from $112. Analysts are more upbeat on medtech after earnings. 2027 estimates for the group seem to be at more reasonable levels. We thankfully exited Abbott last fall, avoiding what had been a rough 2026. Johnson &amp; Johnson gives us medtech exposure now. Need it lower before we buy any more.",0.8834,Positive
ABT,$ABT pretty sure dividend payments are tomorrow,2026-08-13 17:37:36+00:00,Neutre,$ABT pretty sure dividend payments are tomorrow,0.6705,Positive
ABT,$ABT Come down to 105 so I can close my hedge.,2026-08-13 17:37:22+00:00,Neutre,$ABT Come down to 105 so I can close my hedge.,0.0,Neutral
ABT,"$ABT this thing has traded sideways and consolidated for 5 years straight, despite beating guidance multiple times and revenue and profit growth. Will be trading at $200 as soon as Exact sciences dilution falls off in early 2027.",2026-08-13 14:44:44+00:00,Bullish,"$ABT this thing has traded sideways and consolidated for 5 years straight, despite beating guidance multiple times and revenue and profit growth. Will be trading at $200 as soon as Exact sciences dilution falls off in early 2027.",0.8351,Positive
ABT,"$ABT higher highs &amp; higher lows.   $120+ is in play for us in the coming weeks, &amp; we can&#39;t discount the possibility of $130+ by year-end, pending the outcome with the next round of earnings that will be reported in November.  🥂",2026-08-13 14:42:54+00:00,Bullish,"$ABT higher highs &amp; higher lows. $120+ is in play for us in the coming weeks, &amp; we can&#39;t discount the possibility of $130+ by year-end, pending the outcome with the next round of earnings that will be reported in November. 🥂",0.1531,Positive
ABT,"Wall St is expecting 1.42 EPS for $ABT Q3 [Reporting 10/21 BMO]
http://www.estimize.com/intro/abt?chart=historical&amp;metric_name=eps&amp;utm_cont",2026-08-13 13:48:26+00:00,Neutre,Wall St is expecting 1.42 EPS for $ABT Q3 [Reporting 10/21 BMO],0.0,Neutral
ABT,"Thursday’s biggest analyst calls:

Citi reiterates SpaceX as buy

Bank of America reiterates MongoDB as buy

Wolfe upgrades AbbVie to outperform from peer perform

Wolfe upgrades Abbott Labs to outperform from peer perform

JPMorgan resumes Salesforce at overweight

$SPX $MDB $ABBV $ABT $CRM",2026-08-13 13:09:43+00:00,Neutre,Thursday’s biggest analyst calls: Citi reiterates SpaceX as buy Bank of America reiterates MongoDB as buy Wolfe upgrades AbbVie to outperform from peer perform Wolfe upgrades Abbott Labs to outperform from peer perform JPMorgan resumes Salesforce at overweight $SPX $MDB $ABBV $ABT $CRM,-0.3612,Negative
ABT,"$SENS Part 1: An interesting perspective from a diabetes industry veteran!

I recently exchanged views with David Kliff, who has followed the diabetes industry for more than 30 years.

Despite the encouraging Q2 numbers from Senseonics, he remains convinced that $SENS will never become a serious threat to $DXCM or $ABT.

Why? 👇",2026-08-12 16:53:32+00:00,Neutre,"$SENS Part 1: An interesting perspective from a diabetes industry veteran! I recently exchanged views with David Kliff, who has followed the diabetes industry for more than 30 years. Despite the encouraging Q2 numbers from Senseonics, he remains convinced that $SENS will never become a serious threat to $DXCM or $ABT. Why? 👇",0.7108,Positive
ABT,"Abbott Laboratories $ABT (8h) 
 
Bullish Flow: Direct opening sweeps are repeatedly hitting October $110 Calls (2,764 OI), aggressively absorbing ask liquidity as spot price trends higher near $108.80. Institutional buyers are treating the post-earnings breakout as  prime accumulation vehicle  gross margins expand 100 bps to 58% and $2.1B in quarterly capital returnconfirms elite balance sheet execution. 🐂 💧 
 
Bull Key Level: $114.80 (Bull confirmation to clear primary upper wick friction and unlock explosive trend expansion) 🐂 🔥 
 
Bear Key Level: $93.50 (Absolute structural breakdown defense level and lower volume shelf) 🐻 ⚠️ 
 
Targets: $122.00 / $130.00 💰 🍺 
 
Why: Price action has cleared its primary 8-hour moving average ribbon and turned sharply higher with expanding green volume bars. The RSI indicator is holding firmly above 60 out of oversold territory, signaling buyers maintain complete structural control over the baseline. 
 
#abt |  #hovdid",2026-08-11 23:40:51+00:00,Neutre,"Abbott Laboratories $ABT (8h) Bullish Flow: Direct opening sweeps are repeatedly hitting October $110 Calls (2,764 OI), aggressively absorbing ask liquidity as spot price trends higher near $108.80. Institutional buyers are treating the post-earnings breakout as prime accumulation vehicle gross margins expand 100 bps to 58% and $2.1B in quarterly capital returnconfirms elite balance sheet execution. 🐂 💧 Bull Key Level: $114.80 (Bull confirmation to clear primary upper wick friction and unlock explosive trend expansion) 🐂 🔥 Bear Key Level: $93.50 (Absolute structural breakdown defense level and lower volume shelf) 🐻 ⚠️ Targets: $122.00 / $130.00 💰 🍺 Why: Price action has cleared its primary 8-hour moving average ribbon and turned sharply higher with expanding green volume bars. The RSI indicator is holding firmly above 60 out of oversold territory, signaling buyers maintain complete structural control over the baseline. #abt | #hovdid",-0.2023,Negative
ABT,"$MS $PM $GS $ABT $BX .
..",2026-08-11 15:09:21+00:00,Neutre,$MS $PM $GS $ABT $BX . ..,0.0,Neutral
ABT,$ABT $GOOGL  partnership with AI and Glucose data to give people health insights,2026-08-11 13:15:49+00:00,Bullish,$ABT $GOOGL partnership with AI and Glucose data to give people health insights,0.0,Neutral
